localizacao,participacaPIBestadual,impostosPIB,vab,agropecuariaVAB,industriaVAB,servicosVAB,servicosPublicos_VAB
MATO GROSSO,1.92%,10.9%,"  126,618,405 ",21.4%,16.3%,45.0%,17.4%
ACORIZAL,0.06%,10.7%,"75,3",9.5%,24.9%,24.5%,41.0%
ÁGUA BOA,0.76%,10.8%,"962,955",26.9%,7.8%,47.8%,17.5%
ALTA FLORESTA,1.10%,12.2%,"  1,368,157 ",8.1%,12.7%,55.2%,23.9%
ALTO ARAGUAIA,0.60%,7.2%,"789,83",18.4%,33.7%,31.2%,16.7%
ALTO BOA VISTA,0.09%,6.1%,"115,868",33.6%,3.6%,24.1%,38.7%
ALTO GARÇAS,0.47%,8.6%,"605,533",49.4%,4.2%,33.3%,13.2%
ALTO PARAGUAI,0.09%,5.0%,"115,992",19.0%,4.7%,22.5%,53.8%
ALTO TAQUARI,0.60%,5.6%,"809,6",49.9%,18.7%,21.1%,10.4%
APIACÁS,0.12%,9.0%,"151,913",15.2%,6.7%,36.3%,41.8%
ARAGUAIANA,0.05%,6.2%,"64,646",38.3%,3.2%,20.1%,38.4%
ARAGUAINHA,0.01%,5.0%,"20,025",18.2%,3.8%,22.5%,55.5%
ARAPUTANGA,0.33%,10.4%,"423,149",4.6%,35.5%,36.2%,23.7%
ARENÁPOLIS,0.12%,8.2%,"162,757",9.8%,8.1%,46.8%,35.2%
ARIPUANÃ,0.66%,9.0%,"854,793",7.9%,55.3%,21.0%,15.9%
BARÃO DE MELGAÇO,0.06%,4.2%,"86,589",23.2%,2.8%,18.0%,56.1%
BARRA DO BUGRES,0.91%,7.9%,"  1,191,456 ",31.9%,25.0%,25.4%,17.6%
BARRA DO GARÇAS,1.48%,10.2%,"  1,894,390 ",4.4%,17.0%,58.9%,19.6%
BOM JESUS DO ARAGUAIA,0.22%,7.0%,"297,287",58.9%,3.9%,22.5%,14.7%
BRASNORTE,0.67%,7.2%,"880,405",51.7%,6.3%,27.0%,15.0%
CÁCERES,1.34%,10.2%,"  1,716,009 ",7.5%,9.2%,51.5%,31.8%
CAMPINÁPOLIS,0.21%,6.4%,"276,66",24.5%,10.7%,27.7%,37.1%
CAMPO NOVO DO PARECIS,2.39%,8.7%,"  3,106,358 ",42.6%,15.3%,33.8%,8.3%
CAMPO VERDE,1.67%,9.4%,"  2,145,341 ",41.4%,13.3%,32.4%,12.9%
CAMPOS DE JÚLIO,0.94%,6.5%,"  1,248,053 ",48.3%,22.2%,24.4%,5.1%
CANABRAVA DO NORTE,0.09%,5.3%,"121,95",52.0%,6.4%,15.8%,25.9%
CANARANA,0.90%,10.4%,"  1,149,619 ",41.0%,4.5%,41.8%,12.7%
CARLINDA,0.13%,9.4%,"162,836",25.6%,4.6%,32.3%,37.5%
CASTANHEIRA,0.09%,7.1%,"125,211",28.0%,8.4%,22.1%,41.4%
CHAPADA DOS GUIMARÃES,0.50%,5.3%,"679,14",36.0%,17.0%,28.2%,18.9%
CLÁUDIA,0.32%,7.4%,"417,847",48.6%,5.6%,27.8%,18.0%
COCALINHO,0.12%,7.4%,"153,447",32.4%,21.1%,18.9%,27.7%
COLÍDER,0.63%,12.6%,"787,981",7.3%,19.0%,48.8%,24.8%
COLNIZA,0.40%,8.1%,"517,753",14.3%,14.6%,30.0%,41.1%
